"","phon","freq","freq_log10","nd","pp"
"1235","B_IH_N_Z",2.19071807357015,0.503888432365908,14,0.00385174595329157
"1236","B_IH_R",24.8281381671284,1.41209310099,21,0.00253790528584411
"1237","B_IH_R_D",21.1769413778448,1.34590164847131,8,0.00245698902536105
"1238","B_IH_R_D_Z",2.19071807357015,0.503888432365908,3,0.0024414137055651
"1239","B_IH_R_OW",2.19071807357015,0.503888432365908,6,0.00271872980038896
"1240","B_IH_R_Z",0.730239357856718,0.238106186715963,15,0.00215274011582194
"1241","B_IH_S_K_AH_T",132.903563129923,2.12679213359957,2,0.00537157670493907
"1242","B_IH_S_K_AH_T_S",109.535903678508,2.04350336613698,2,0.005443915936064
"1243","B_IH_S_T_OW",8.0326329364239,0.955814361951159,0,0.00610335753940674
"1244","B_IH_T",2557.29823121423,3.40795117056524,24,0.00287226805120656
"1245","B_IH_T_AH_N",9.49311165213734,1.02090429400512,5,0.00906306887618483
"1246","B_IH_T_S",260.695450754848,2.41779617304401,14,0.00385004939803392
"1247","B_IH_Z_IY",98.582313310657,1.9981822107764,5,0.00204783644905706
"1248","B_IH_Z_IY_B_IH_Z_IY_B_IH_Z_IY",0.730239357856718,0.238106186715963,0,0.0019174416111229
"1249","B_IH_Z_IY_D_EY",0.730239357856718,0.238106186715963,0,0.0018622521544838
"1250","B_IH_Z_N_AH_S",4.38143614714031,0.730898191567095,0,0.00311838166725009
"1251","B_IY",3544.58184303651,3.54968751469121,32,0.00246933617751397
"1252","B_IY_B_IY_S_IY",0.730239357856718,0.238106186715963,0,0.00208998642190275
"1253","B_IY_CH",69.3727389963882,1.84740445464922,14,0.00153863423908648
"1254","B_IY_CH_B_AO_L",2.92095743142687,0.593392127330361,0,0.00124906053252607
"1255","B_IY_CH_HH_AH_T",0.730239357856718,0.238106186715963,0,0.00209168297716041
"1256","B_IY_CH_T",0.730239357856718,0.238106186715963,4,0.00115827597562766
"1257","B_IY_D",0.730239357856718,0.238106186715963,22,0.00209072159584774
"1258","B_IY_D_IY",3.65119678928359,0.667564714633417,8,0.00277075749495699
"1259","B_IY_D_Z",8.0326329364239,0.955814361951159,11,0.00219204364595757
"1260","B_IY_F",16.0652658728478,1.23211305887374,14,0.00157935156527016
"1261","B_IY_F_B_ER_G_ER",25.5583775249851,1.42420154006839,1,0.0013493740747883
"1262","B_IY_F_B_ER_G_ER_Z",13.1443084414209,1.15058171832415,1,0.00174434156407691
"1263","B_IY_F_S",0.730239357856718,0.238106186715963,3,0.0011668530049858
"1264","B_IY_F_T_AH_M_EY_T_OW_Z",1.46047871571344,0.39101961253686,0,0.00304374580298934
"1265","B_IY_HH_AY_V",2.92095743142687,0.593392127330361,0,0.00117338003007427
"1266","B_IY_IH_NG",449.827444439738,2.65401034616276,6,0.00806118230673832
"1267","B_IY_IH_NG_Z",0.730239357856718,0.238106186715963,2,0.00623363884523401
"1268","B_IY_K",12.4140690835642,1.12756053866286,20,0.00200829728624676
"1269","B_IY_K_ER",12.4140690835642,1.12756053866286,5,0.00186140387685497
"1270","B_IY_K_ER_Z",5.84191486285375,0.835177665753331,2,0.00242458953259337
"1271","B_IY_K_Y_UW",2.92095743142687,0.593392127330361,0,0.00177756577120595
"1272","B_IY_M",1.46047871571344,0.39101961253686,12,0.00175607607127568
"1273","B_IY_N",5.11167550499703,0.786160287627463,21,0.00238973946000908
"1274","B_IY_N_B_AE_G",8.0326329364239,0.955814361951159,2,0.00175033605932062
"1275","B_IY_N_B_AE_G_Z",0.730239357856718,0.238106186715963,2,0.00161714704628787
"1276","B_IY_N_S_T_AO_K",2.92095743142687,0.593392127330361,0,0.00454521291485724
"1277","B_IY_N_Z",89.0892016585196,1.95467273835792,9,0.00272504475607023
"1278","B_IY_P",48.1957976185434,1.69192800624245,21,0.00251033626290725
"1279","B_IY_P_B_IY_P",63.5308241335345,1.80976721158723,0,0.00203275595787793
"1280","B_IY_P_B_IY_P_B_IY_P",1.46047871571344,0.39101961253686,0,0.00191336088162059
"1281","B_IY_P_IH_NG",0.730239357856718,0.238106186715963,6,0.00768815221946186
"1282","B_IY_P_S",2.92095743142687,0.593392127330361,6,0.00253569033870218
"1283","B_IY_S_T",2.92095743142687,0.593392127330361,8,0.00635096035395421
"1284","B_IY_S_T_AH_N",3.65119678928359,0.667564714633417,2,0.00991212409283777
"1285","B_IY_T",8.76287229428062,0.989577608449387,32,0.0028029920448524
"1286","B_IY_T_AH_L",14.6047871571344,1.193257849444,6,0.00790714922730391
"1287","B_IY_T_AH_L_K_AA_R",2.19071807357015,0.503888432365908,2,0.00610077231234746
"1288","B_IY_T_AH_L_K_AA_R_S",0.730239357856718,0.238106186715963,2,0.00555137621734909
"1289","B_IY_T_AH_L_K_AA_R_Z",1.46047871571344,0.39101961253686,2,0.00551097699527623
"1290","B_IY_T_AH_L_Z",3.65119678928359,0.667564714633417,2,0.0070037194146432
